Ticker,Close,VWAP_window,Volume,DVOL,SMA4,SMA12,SMA46,Gradient_SMA4,Gradient_SMA46,Deviation_SMA4,Deviation_SMA46,Bars_since_SMA4,RSI6,RSI12,RSI24,RSI_sync_days,ATR10,ATR10_pct,RVOL10_max_10,CLV,CLV_rvol,Star_candle,Star_days_ago,WMA5,WMA10,WMA20,Gradient_WMA20,WMA_sync,WMA_fan_spread
BWIN,31.95,24.805,53451344.0,1707770440.8,30.79,29.3733,24.4635,0.0406,0.8792,6.2196,33.6891,2.0,69.2312,65.5268,59.517,1,2.9233,9.1497,9.893,-0.533,-5.2729,False,,30.95,30.5213,28.2455,2.2624,True,9.5749
CAI,30.92,21.437,18010859.0,556895760.28,26.49,21.645,21.4564,4.4877,0.0851,18.3843,46.1568,0.0,81.5972,71.8562,58.7283,7,3.2874,10.6319,2.4834,0.8796,0.6992,False,,26.98,24.7336,21.7419,5.3237,True,24.0924
CDE,19.98,18.656,121670629.0,2430979167.42,20.7325,18.1475,18.833,-1.1867,0.3249,10.8646,8.0548,1.0,58.8005,55.2244,53.2668,6,2.4622,12.3232,1.3824,0.6043,0.4561,False,,20.6113,19.6658,18.3893,1.1443,True,12.0834
CLF,12.76,11.371,43475040.0,554741510.4,12.235,11.3633,11.4567,3.0919,0.0626,7.1107,14.3868,0.0,63.544,57.3522,52.3529,4,1.5219,11.9275,2.2945,0.5591,0.2579,False,,12.27,12.0244,11.67,1.0414,True,5.1414
CMPS,15.0,9.823,10332909.0,154993635.0,14.0875,13.2408,9.2351,3.0084,2.0644,9.3878,66.8632,0.0,72.4827,67.6129,64.3302,2,1.8563,12.3754,1.4561,0.5314,0.3311,False,,14.2,13.6678,13.2601,1.8269,True,7.0878
CNH,13.55,11.034,51793282.0,701798971.1,13.3025,11.6367,10.8691,3.2082,0.6139,7.912,32.0713,0.0,68.127,63.9389,59.5301,5,1.2052,8.8948,3.803,-0.4907,-0.2876,False,,13.3667,12.4624,11.6805,2.0545,True,14.4355
COIN,173.97,199.601,41457019.0,7212277595.43,178.1275,165.6075,195.7135,-1.7419,-1.8686,9.5143,17.6449,0.0,53.2774,47.7775,38.9674,7,24.6627,14.1764,1.9061,-0.2015,-0.2085,False,,177.9053,171.5056,167.1396,0.2274,True,6.4412
CRBG,34.88,29.129,17079876.0,595746074.88,34.1575,32.6167,29.3213,2.1678,0.1722,4.3402,21.5498,0.0,72.0875,67.1784,57.5182,3,1.9744,5.6605,1.394,-0.0236,-0.0203,False,,34.244,33.6665,32.1401,1.3508,True,6.5459
CRCL,85.09,88.597,63022318.0,5362569038.62,91.22,75.61,85.003,-0.7889,-1.0656,14.2074,14.9959,0.0,52.4082,49.8046,45.8428,6,15.2991,17.98,1.4697,-0.2991,-0.2882,False,,90.4173,83.9682,79.8975,0.0844,True,13.1667
CRM,242.85,200.173,41380088.0,10049154370.8,251.45,204.3167,205.1717,3.4059,-0.1859,3.9491,27.4834,0.0,70.5664,65.0067,54.4022,12,21.3407,8.7876,1.8465,-0.8673,-0.5315,False,,246.9327,228.7455,204.8543,2.5331,True,20.5406
CRWD,245.7,330.804,55881748.0,13730145483.6,220.985,205.47,398.9481,6.2735,-1.6071,13.2747,45.8451,0.0,51.8948,42.7715,40.685,1,50.1945,20.4292,1.657,0.7304,0.934,False,,221.5673,214.3202,252.0615,-3.669,False,-12.0979
DAIC,5.3,4.106,123846983.0,656389009.9,3.8925,1.999,11.1607,37.5476,-11.0442,83.6737,83.6032,0.0,69.7781,47.8663,24.6501,7,1.9705,37.1793,131.7367,0.3046,1.0378,False,,3.7084,2.6726,2.2652,12.7254,True,63.7084
DBX,37.61,28.138,13293996.0,499987189.56,35.925,33.1267,28.2696,2.2093,0.6643,6.1364,34.8783,1.0,81.0673,73.4667,64.0659,13,2.4206,6.436,1.4469,0.4881,0.349,False,,36.0433,35.0822,32.5884,2.2179,True,10.6018
DELL,588.4,267.791,35728244.0,21022498769.6,534.0175,465.9358,264.7798,7.0959,3.5635,11.2285,124.3298,0.0,79.5757,76.1158,73.6835,3,68.0654,11.5679,2.9759,0.8405,0.8316,False,,542.5427,505.1904,462.0233,3.9283,True,17.4276
DHR,212.5,200.842,14433204.0,3067055850.0,209.0925,204.1433,203.4313,-0.7564,-0.0308,1.9979,4.8364,0.0,60.2888,57.8087,53.1166,1,13.4315,6.3207,3.1177,0.8914,0.5637,False,,209.1353,207.5671,201.2806,0.9798,True,3.9024
DINO,116.62,65.765,8391846.0,978657080.52,107.395,93.4092,67.2628,4.5968,2.1238,8.655,73.4836,0.0,86.7582,80.4821,74.3938,6,8.022,6.8787,1.3858,0.9878,0.6386,False,,108.4953,101.7367,91.5057,3.7176,True,18.5668
DIS,105.35,104.503,26694459.0,2812261255.65,106.3275,102.39,104.4057,-0.5697,-0.1513,0.9475,4.8028,0.0,55.5704,53.4531,49.0418,7,5.0909,4.8323,1.4795,-0.9854,-0.5669,False,,106.1907,105.2389,102.9598,0.2899,True,3.138
DOCU,70.64,53.415,9567215.0,675828067.6,67.175,58.83,55.1141,3.2683,-0.0986,9.1923,33.0873,0.0,80.0814,71.3439,56.6277,13,5.9799,8.4653,1.4552,0.2145,0.1326,False,,67.402,64.2524,58.2007,2.913,True,15.8096
DT,55.83,41.721,20519954.0,1145629031.82,53.1175,48.2233,42.3098,3.1216,0.2706,5.935,32.9952,0.0,77.5862,70.3408,59.0832,8,4.1574,7.4466,1.7953,0.8244,0.5964,False,,53.0513,51.0329,47.8695,2.2693,True,10.8249
DV,13.47,11.031,32964734.0,444034966.98,13.405,12.4808,10.9276,0.2988,0.4166,1.8277,24.913,1.0,77.7603,67.5045,58.4051,8,0.669,4.9663,3.5728,-0.7143,-1.3885,False,,13.4093,13.1158,12.2687,1.586,True,9.2974
EQNR,44.33,33.513,12180643.0,539967904.19,43.1525,39.995,33.4776,0.8553,1.3316,6.0193,36.6585,1.0,69.6392,65.1259,64.8901,2,2.9169,6.5799,1.5079,-0.399,-0.2972,False,,43.5173,42.382,39.7671,1.4933,True,9.4305
EXK,10.17,9.921,24464470.0,248803659.9,10.5575,9.37,9.7154,-1.06,0.4418,11.8039,4.9876,1.0,56.0407,54.3696,53.3299,7,1.4287,14.0486,1.75,0.9325,0.5934,False,,10.4713,10.1525,9.4757,0.9777,True,10.5071
FIGR,33.71,37.072,10950695.0,369147928.45,35.1475,32.2433,36.8326,-3.7622,-0.347,7.874,12.0888,0.0,51.578,50.5487,49.1101,6,5.9338,17.6024,1.5992,-0.3575,-0.2109,False,,35.1407,33.7467,32.3027,0.3322,True,8.7857
FIVN,34.5,21.796,8213340.0,283360230.0,33.12,29.7742,21.8347,1.3298,1.0227,6.6123,61.7153,0.0,68.1233,66.6656,60.6621,1,3.7554,10.8851,2.2092,0.6501,0.4371,False,,33.0533,32.3138,29.0909,2.7995,True,13.6209
FRO,54.03,33.6,18404143.0,994375846.29,48.3875,42.35,34.0404,5.5012,1.8687,13.4797,61.3082,2.0,90.8585,78.6283,70.5575,6,3.772,6.9813,1.6924,0.6939,1.1743,False,,49.16,45.8489,42.4321,3.3176,True,15.8556
FSM,11.92,9.913,12018524.0,143260806.08,12.12,10.3325,10.0757,-0.3089,0.7906,7.0017,18.9005,1.0,70.8567,62.6031,58.0111,7,1.1258,9.4446,1.3395,0.8307,0.3822,False,,12.072,11.4416,10.4217,1.9256,True,15.8356
FTFT,6.255,3.747,151875898.0,949983741.99,2.8299,1.5224,2.0639,68.151,-1.0739,244.2635,372.0488,1.0,92.9887,82.9498,62.7401,10,1.2953,20.7076,53.1216,-0.0743,-0.5552,False,,3.2971,2.244,1.6103,36.4857,True,104.7483
GBTG,9.46,8.349,9365825.0,88600704.5,9.47,9.4425,7.8233,0.0264,0.4456,0.1056,21.1771,0.0,76.4965,70.7765,57.9394,23,0.1735,1.8341,2.3694,-1.0,-1.2255,False,,9.466,9.4605,9.4365,0.2203,True,0.3129
GFI,43.34,43.169,9805172.0,424956154.48,45.45,39.7817,43.4965,-2.429,0.2467,9.0429,4.9579,1.0,54.4193,53.3129,52.962,7,4.526,10.4431,1.3007,0.6,0.3223,False,,45.2687,43.3856,40.3263,0.96,True,12.256
GMAB,34.535,29.525,8139847.0,281109616.145,33.4587,31.2042,29.5448,0.814,0.4369,3.919,17.6858,0.0,78.0836,71.917,62.1611,12,1.9715,5.7087,1.8596,0.8082,0.5829,False,,33.551,32.6811,30.6713,1.826,True,9.389
GTLB,50.27,32.223,11071691.0,556573906.57,47.99,39.8517,32.955,4.5836,0.1003,5.1677,53.1482,0.0,78.5775,72.6986,59.2302,23,4.6537,9.2574,2.8268,0.8592,0.3946,False,,48.014,44.6573,39.1657,4.1132,True,22.5921
HMY,19.98,18.276,12485134.0,249452977.32,20.28,18.4392,18.3463,-4.295,0.412,6.854,10.2129,3.0,55.6134,55.4859,53.9477,7,2.256,11.2914,1.6476,0.6391,0.4832,False,,20.4847,20.0038,18.5067,1.2964,True,10.6878
HPE,61.04,34.676,89013603.0,5433390327.12,56.86,52.0,33.975,3.3941,2.371,9.286,82.8992,0.0,72.0749,71.4991,69.9659,2,7.0734,11.5882,2.5056,0.6919,0.6412,False,,57.842,55.6984,51.72,2.7604,True,11.8368
HPQ,34.66,23.325,52474929.0,1818781039.14,33.325,28.9317,23.7,3.7841,0.6432,5.5964,48.481,0.0,80.9054,74.4604,63.3726,11,3.0379,8.7648,1.4519,0.597,0.4205,False,,33.5927,31.7789,28.918,2.7865,True,16.1654
IAG,20.16,17.37,16537852.0,333403096.32,20.3725,17.8433,17.6998,-1.1954,1.0594,6.0253,15.3122,0.0,65.4022,59.3262,58.1809,5,2.0748,10.2915,1.4361,0.6047,0.3931,False,,20.3733,19.4465,18.0479,1.5355,True,12.8848
ILMN,245.18,152.57,9721258.0,2383458036.44,221.36,204.0342,153.6141,2.9548,1.7364,11.4745,60.6363,0.0,77.5401,75.0685,70.6779,1,19.4908,7.9496,1.4997,0.9281,0.9818,False,,223.796,214.1375,199.5635,3.1783,True,12.1427
INTR,5.45,6.911,11092295.0,60453007.75,5.55,5.4667,7.2367,0.2706,-1.1083,4.3153,26.6175,0.0,43.681,38.7766,38.6024,3,0.5689,10.4383,1.6118,-0.1268,-0.059,False,,5.548,5.4718,5.5114,-0.487,False,0.6644
INTU,313.13,396.403,10870517.0,3403884988.21,331.365,318.0975,433.4593,-3.9838,-1.7619,5.669,27.8871,0.0,40.4827,40.4403,35.8808,10,36.6246,11.6963,1.4426,-0.963,-0.5439,False,,328.8767,331.9402,317.9821,-0.2833,False,3.4261
IOT,40.0,34.07,20554007.0,822160280.0,39.935,38.475,34.3761,0.0376,-0.0108,8.1382,25.6251,0.0,58.909,57.6087,52.29,1,4.7777,11.9442,2.3325,-0.5113,-0.3544,False,,39.7587,39.52,37.7326,1.1561,True,5.3695
IOVA,10.02,4.113,69084266.0,692224345.32,8.855,6.6358,4.11,5.0076,4.3512,23.9977,167.1533,0.0,85.5933,81.0313,75.9772,7,1.2305,12.2808,2.039,0.2131,0.1821,False,,9.012,8.0215,6.5687,7.1854,True,37.1968
IREN,43.48,47.254,127460368.0,5541976800.64,41.86,40.1717,45.5839,0.9602,-0.8202,10.2962,9.8256,0.0,51.9434,48.667,46.3606,3,9.0061,20.7132,1.334,-0.0622,-0.0364,False,,42.636,41.6276,43.2895,-0.7719,False,-1.5097
KD,12.95,14.902,10459326.0,135448271.7,13.1125,12.8467,16.5574,0.7656,-2.0751,3.6034,23.6595,0.0,50.6395,44.9709,35.6121,23,1.352,10.4401,1.4136,-0.4855,-0.2632,False,,13.05,13.0833,12.6973,0.355,False,2.7775
LUMN,6.48,8.111,42010209.0,272226154.32,6.5575,6.4408,7.7643,2.0802,-1.0583,1.7918,17.0568,0.0,44.3671,43.0183,41.7994,3,0.9977,15.3959,1.5634,-0.8919,-0.6225,False,,6.566,6.4727,6.8608,-1.5933,False,-4.297
